date,symbol,open,high,low,close,volume,value_vnd
2025-03-03,FVNA,38500.0,38550.0,38200.0,38400.0,5254392,201768652800
2025-03-04,FVNA,38450.0,38500.0,37300.0,37350.0,5723078,213756963300
2025-03-05,FVNA,37500.0,37700.0,37450.0,37500.0,4078730,152952375000
2025-03-06,FVNA,37550.0,37850.0,36800.0,36800.0,5295327,194868033600
2025-03-07,FVNA,36650.0,37250.0,36500.0,37150.0,7181303,266785406450
2025-03-10,FVNA,37200.0,37250.0,36800.0,37000.0,3357047,124210739000
2025-03-11,FVNA,36850.0,38000.0,36650.0,37400.0,3737065,139766231000
2025-03-12,FVNA,37450.0,38300.0,37250.0,38000.0,3570759,135688842000
2025-03-13,FVNA,37950.0,38000.0,37750.0,37950.0,6728946,255363500700
2025-03-14,FVNA,38000.0,38350.0,37850.0,38200.0,4119060,157348092000
2025-03-17,FVNA,38250.0,38350.0,37350.0,37900.0,3922861,148676431900
2025-03-18,FVNA,38000.0,38350.0,37000.0,37150.0,7108948,264097418200
2025-03-19,FVNA,37150.0,38450.0,37000.0,38100.0,7334324,279437744400
2025-03-20,FVNA,38100.0,38200.0,37000.0,37100.0,6892991,255729966100
2025-03-21,FVNA,37350.0,37650.0,37200.0,37500.0,4418539,165695212500
2025-03-24,FVNA,37600.0,37750.0,36900.0,36950.0,6942407,256521938650
2025-03-25,FVNA,36900.0,37350.0,36200.0,36500.0,4407107,160859405500
2025-03-26,FVNA,36650.0,36800.0,36550.0,36800.0,5823341,214298948800
2025-03-27,FVNA,36900.0,37600.0,36650.0,37550.0,7239016,271825050800
2025-03-28,FVNA,37700.0,37850.0,37200.0,37800.0,4809163,181786361400
2025-03-31,FVNA,37800.0,39050.0,37550.0,38900.0,5209266,202640447400
2025-04-01,FVNA,39000.0,40100.0,38400.0,39900.0,6868606,274057379400
2025-04-02,FVNA,39850.0,40500.0,39800.0,40300.0,8820386,355461555800
2025-04-03,FVNA,40250.0,40600.0,39400.0,39550.0,4798815,189793133250
2025-04-04,FVNA,39400.0,39700.0,39100.0,39650.0,7204006,285638837900
2025-04-07,FVNA,39900.0,40000.0,39300.0,39650.0,2991216,118601714400
2025-04-08,FVNA,39700.0,40150.0,39150.0,39550.0,7406942,292944556100
2025-04-09,FVNA,39750.0,40200.0,39700.0,40000.0,4495824,179832960000
2025-04-10,FVNA,40000.0,40100.0,38600.0,39100.0,4323777,169059680700
2025-04-11,FVNA,38900.0,39450.0,38850.0,39350.0,7086123,278838940050
2025-04-14,FVNA,39350.0,40700.0,39200.0,40400.0,6495200,262406080000
2025-04-15,FVNA,40300.0,41050.0,40250.0,40750.0,6847162,279021851500
2025-04-16,FVNA,40800.0,41800.0,40250.0,41700.0,5969128,248912637600
2025-04-17,FVNA,41700.0,42100.0,41450.0,41500.0,6499801,269741741500
2025-04-18,FVNA,41450.0,42850.0,41350.0,42400.0,5942239,251950933600
2025-04-21,FVNA,42500.0,42700.0,41650.0,41950.0,6497570,272573061500
2025-04-22,FVNA,41750.0,41950.0,41750.0,41800.0,4065330,169930794000
2025-04-23,FVNA,41850.0,42400.0,41750.0,42200.0,7454000,314558800000
2025-04-24,FVNA,42250.0,42250.0,41100.0,41650.0,1915066,79762498900
2025-04-25,FVNA,41600.0,42250.0,41100.0,42200.0,5483496,231403531200
2025-04-28,FVNA,42150.0,44050.0,42000.0,43900.0,4170425,183081657500
2025-04-29,FVNA,43850.0,44050.0,43300.0,43950.0,9354750,411141262500
2025-04-30,FVNA,44200.0,44450.0,43750.0,43850.0,11592513,508331695050
2025-05-01,FVNA,43650.0,43800.0,43050.0,43150.0,6834679,294916398850
2025-05-02,FVNA,43100.0,44600.0,43000.0,44150.0,7887428,348229946200
2025-05-05,FVNA,43900.0,44550.0,43500.0,44550.0,9593605,427395102750
2025-05-06,FVNA,44600.0,45350.0,44350.0,45000.0,5590313,251564085000
2025-05-07,FVNA,45100.0,45550.0,44750.0,45400.0,4002769,181725712600
2025-05-08,FVNA,45500.0,46150.0,44350.0,44450.0,6366015,282969366750
2025-05-09,FVNA,44450.0,46000.0,44350.0,45700.0,4067022,185862905400
2025-05-12,FVNA,45900.0,46200.0,45000.0,45150.0,11910767,537771130050
2025-05-13,FVNA,45250.0,45350.0,45050.0,45150.0,9958629,449632099350
2025-05-14,FVNA,44950.0,46500.0,44800.0,46400.0,7007627,325153892800
2025-05-15,FVNA,46100.0,46650.0,45250.0,45300.0,5301333,240150384900
2025-05-16,FVNA,45200.0,45950.0,44600.0,45600.0,6133685,279696036000
2025-05-19,FVNA,45750.0,46150.0,45650.0,45900.0,8097327,371667309300
2025-05-20,FVNA,45800.0,46000.0,45600.0,45800.0,1330956,60957784800
2025-05-21,FVNA,45850.0,46050.0,45600.0,45950.0,6215722,285612425900
2025-05-22,FVNA,45950.0,47550.0,45750.0,47400.0,5365718,254335033200
2025-05-23,FVNA,47400.0,47400.0,45800.0,46350.0,7316186,339105221100
2025-05-26,FVNA,46250.0,47450.0,45900.0,47200.0,6100524,287944732800
2025-05-27,FVNA,47100.0,48150.0,46900.0,47550.0,1837248,87361142400
2025-05-28,FVNA,47500.0,48050.0,47350.0,48050.0,6251775,300397788750
2025-05-29,FVNA,47900.0,48150.0,45900.0,46300.0,9163569,424273244700
2025-05-30,FVNA,46000.0,48050.0,45450.0,47800.0,8606181,411375451800
2025-06-02,FVNA,47650.0,48650.0,47450.0,48050.0,1859538,89350800900
2025-06-03,FVNA,47950.0,48350.0,47800.0,48300.0,8143975,393353992500
2025-06-04,FVNA,48350.0,48900.0,46800.0,47050.0,5905498,277853680900
2025-06-05,FVNA,46950.0,47450.0,46900.0,47250.0,3683247,174033420750
2025-06-06,FVNA,47350.0,48850.0,47150.0,48750.0,3990101,194517423750
2025-06-09,FVNA,48750.0,50000.0,48650.0,49850.0,6686588,333326411800
2025-06-10,FVNA,49950.0,50100.0,49500.0,49750.0,6794339,338018365250
2025-06-11,FVNA,49600.0,49950.0,49400.0,49650.0,3604861,178981348650
2025-06-12,FVNA,49650.0,51000.0,48950.0,50400.0,5546628,279550051200
2025-06-13,FVNA,50300.0,50400.0,48550.0,49000.0,5017800,245872200000
2025-06-16,FVNA,48950.0,49500.0,48700.0,49250.0,8939366,440263775500
2025-06-17,FVNA,49150.0,49250.0,48800.0,49100.0,4181975,205334972500
2025-06-18,FVNA,49200.0,49800.0,48750.0,49550.0,4440322,220017955100
2025-06-19,FVNA,49450.0,50700.0,49050.0,50600.0,7083072,358403443200
2025-06-20,FVNA,50400.0,50800.0,50200.0,50600.0,3721521,188308962600
2025-06-23,FVNA,50600.0,51300.0,49900.0,50000.0,5834776,291738800000
2025-06-24,FVNA,50200.0,50400.0,49300.0,49500.0,4210218,208405791000
2025-06-25,FVNA,49250.0,50300.0,49050.0,50100.0,5634514,282289151400
2025-06-26,FVNA,50100.0,50700.0,50000.0,50300.0,4893639,246150041700
2025-06-27,FVNA,50400.0,50600.0,48750.0,49200.0,4061149,199808530800
2025-06-30,FVNA,49200.0,49300.0,49150.0,49250.0,2199511,108325916750
2025-07-01,FVNA,49350.0,50400.0,48650.0,50000.0,4885988,244299400000
2025-07-02,FVNA,50000.0,50600.0,49450.0,50000.0,6435103,321755150000
2025-07-03,FVNA,49600.0,50300.0,48250.0,48700.0,7557873,368068415100
2025-07-04,FVNA,48650.0,49050.0,47750.0,47950.0,3378724,162009815800
2025-07-07,FVNA,47800.0,49350.0,47750.0,49100.0,5547569,272385637900
2025-07-08,FVNA,49100.0,50800.0,48950.0,50400.0,4397390,221628456000
2025-07-09,FVNA,50500.0,51200.0,50100.0,51100.0,4482644,229063108400
2025-07-10,FVNA,51100.0,51600.0,50900.0,51000.0,4824712,246060312000
2025-07-11,FVNA,51100.0,51300.0,49900.0,50100.0,1839400,92153940000
2025-07-14,FVNA,49900.0,51300.0,49550.0,51100.0,2931143,149781407300
2025-07-15,FVNA,51100.0,51500.0,50600.0,51000.0,8385148,427642548000
2025-07-16,FVNA,50800.0,51100.0,48800.0,49200.0,4751873,233792151600
2025-07-17,FVNA,49300.0,49400.0,49250.0,49350.0,4004789,197636337150
2025-07-18,FVNA,49300.0,50700.0,49100.0,50500.0,5704672,288085936000
2025-07-21,FVNA,50500.0,50800.0,50100.0,50400.0,8222031,414390362400
2025-07-22,FVNA,50500.0,50900.0,50200.0,50600.0,6083961,307848426600
2025-07-23,FVNA,50700.0,50900.0,50400.0,50800.0,5545908,281732126400
2025-07-24,FVNA,50800.0,51000.0,48700.0,49100.0,5791208,284348312800
2025-07-25,FVNA,49100.0,50300.0,48650.0,49950.0,3633261,181481386950
2025-07-28,FVNA,50000.0,50200.0,48550.0,48750.0,5641355,275016056250
2025-07-29,FVNA,48900.0,49900.0,48800.0,49700.0,4474304,222372908800
2025-07-30,FVNA,49800.0,50200.0,48250.0,48250.0,4550604,219566643000
2025-07-31,FVNA,47900.0,49300.0,47850.0,49200.0,4401100,216534120000
2025-08-01,FVNA,49350.0,50600.0,49300.0,50400.0,4753053,239553871200
2025-08-04,FVNA,50200.0,50700.0,49600.0,49950.0,7036470,351471676500
2025-08-05,FVNA,50300.0,50900.0,48900.0,49000.0,3759375,184209375000
2025-08-06,FVNA,49050.0,49350.0,48200.0,48250.0,7595641,366489678250
2025-08-07,FVNA,48550.0,49000.0,46600.0,46950.0,2778740,130461843000
2025-08-08,FVNA,46800.0,46900.0,45950.0,46700.0,5059748,236290231600
2025-08-11,FVNA,46550.0,48350.0,46100.0,48250.0,6728607,324655287750
2025-08-12,FVNA,48550.0,48600.0,47950.0,48050.0,6559274,315173115700
2025-08-13,FVNA,47850.0,47950.0,47550.0,47600.0,5820156,277039425600
2025-08-14,FVNA,47550.0,48100.0,47000.0,47950.0,3367485,161470905750
2025-08-15,FVNA,47900.0,49700.0,47200.0,49450.0,5798416,286731671200
2025-08-18,FVNA,49550.0,51200.0,49500.0,50700.0,4488759,227580081300
2025-08-19,FVNA,50400.0,50500.0,49300.0,49500.0,6252036,309475782000
2025-08-20,FVNA,49400.0,49700.0,49050.0,49250.0,3511368,172934874000
2025-08-21,FVNA,49250.0,49550.0,49000.0,49100.0,4036383,198186405300
2025-08-22,FVNA,49150.0,49250.0,48950.0,49100.0,2319871,113905666100
2025-08-25,FVNA,49150.0,49350.0,48300.0,48800.0,5806418,283353198400
2025-08-26,FVNA,48750.0,49950.0,48600.0,49850.0,5975702,297888744700
2025-08-27,FVNA,49850.0,50600.0,49600.0,50500.0,5171907,261181303500
2025-08-28,FVNA,50500.0,51800.0,50300.0,51700.0,7015332,362692664400
2025-08-29,FVNA,51800.0,52200.0,50500.0,50900.0,5896433,300128439700
2025-09-01,FVNA,50900.0,51400.0,50800.0,51000.0,6352762,323990862000
2025-09-02,FVNA,51200.0,51400.0,50000.0,50200.0,5861666,294255633200
