symbol,date,open,high,low,close,volume,value_vnd
BTCUSDT,2024-01-01,42000.0,42695.41763934143,41684.81049776129,42255.96234699373,1282.169414917364,54179302.519215114
BTCUSDT,2024-01-02,42255.96234699373,42806.21082910374,40555.192670913035,40607.1049576054,905.1272222969253,36754596.11579708
BTCUSDT,2024-01-03,40607.1049576054,40953.501400609675,40236.48196484864,40593.46003028168,1233.3375806286845,50065439.783094816
BTCUSDT,2024-01-04,40593.46003028168,41105.258823452794,40403.68181229677,40647.06831992614,742.2122611350285,30168752.486242365
BTCUSDT,2024-01-05,40647.06831992614,41339.47322096335,40290.00402579718,40946.84108619869,985.0222267041241,40333548.58322735
BTCUSDT,2024-01-06,40946.84108619869,41225.660224654755,40296.70924320517,40795.45048974055,953.6411553793594,38904220.53925763
BTCUSDT,2024-01-07,40795.45048974055,40939.104957987736,40230.676325913664,40445.97396049188,1109.6332193092235,44880196.29387763
BTCUSDT,2024-01-08,40445.97396049188,40955.529531503395,39579.76372951831,40779.841409717024,878.0754950846153,35807779.43530937
BTCUSDT,2024-01-09,40779.841409717024,41111.696637732035,40113.43589364659,40362.05786462066,1338.6916878162674,54032351.36652689
BTCUSDT,2024-01-10,40362.05786462066,40701.162308005645,39938.05558486891,40270.07478703281,1195.1778363474104,48129900.853514284
BTCUSDT,2024-01-11,40270.07478703281,41090.67285762403,40002.07353019269,40868.69280823555,1069.648396920016,43715131.74654575
BTCUSDT,2024-01-12,40868.69280823555,41053.65248509888,40512.551257933344,40964.068738012604,1067.0786646324048,43711883.766868524
BTCUSDT,2024-01-13,40964.068738012604,41548.349000923925,40845.63366879831,41520.289975309526,1189.3864677515621,49383671.03375399
BTCUSDT,2024-01-14,41520.289975309526,41653.01839130867,40120.65089494628,40310.259331717185,808.3366455269975,32584259.808523618
BTCUSDT,2024-01-15,40310.259331717185,40912.87405113274,39741.340049796905,40088.43822171598,1290.4835063774442,51733468.32155559
BTCUSDT,2024-01-16,40088.43822171598,40222.6884000756,38676.11662448123,38739.16580422371,1175.8666994077835,45552095.03202341
BTCUSDT,2024-01-17,38739.16580422371,39601.920105127414,38604.07262028449,39290.21229220304,861.2944622006298,33840442.265961595
BTCUSDT,2024-01-18,39290.21229220304,40040.86703374105,38788.99242758097,39964.41338252671,660.0138357989558,26377065.77205658
BTCUSDT,2024-01-19,39964.41338252671,40163.100757456006,39173.63304504412,39229.50595766116,1207.1456062203306,47355725.75098495
